,name,type,latitude_deg,longitude_deg,iso_country,iso_region,municipality,icao_code,iata_code,municipality_iso_country
0,Honiara International Airport,large_airport,-9.428,160.054993,SB,SB-CT,Honiara,AGGH,HIR,"Honiara,SB"
1,Chimbu Airport,medium_airport,-6.024290084838867,144.9709930419922,PG,PG-CPK,Kundiawa,AYCH,CMU,"Kundiawa,PG"
2,Daru Airport,medium_airport,-9.08675956726,143.207992554,PG,PG-WPD,Daru,AYDU,DAU,"Daru,PG"
3,Girua Airport,medium_airport,-8.80453968048,148.309005737,PG,PG-NPP,Popondetta,AYGR,PNP,"Popondetta,PG"
4,Kerema Airport,medium_airport,-7.96361017227,145.770996094,PG,PG-GPK,Kerema,AYKM,KMA,"Kerema,PG"
5,Kavieng Airport,medium_airport,-2.57940006256,150.807998657,PG,PG-NIK,Kavieng,AYKV,KVG,"Kavieng,PG"
6,Madang Airport,medium_airport,-5.20707988739,145.789001465,PG,PG-MPM,Madang,AYMD,MAG,"Madang,PG"
7,Mount Hagen Kagamuga Airport,medium_airport,-5.826789855957031,144.29600524902344,PG,PG-WHM,Mount Hagen,AYMH,HGU,"Mount Hagen,PG"
8,Mendi Airport,medium_airport,-6.14774,143.656998,PG,PG-SHM,Mendi,AYMN,MDU,"Mendi,PG"
9,Nadzab Airport,medium_airport,-6.569803,146.725977,PG,PG-MPL,Lae,AYNZ,LAE,"Lae,PG"
10,Port Moresby Jacksons International Airport,large_airport,-9.44338035583496,147.22000122070312,PG,PG-NCD,Port Moresby,AYPY,POM,"Port Moresby,PG"
11,Vanimo Airport,medium_airport,-2.6926,141.3028,PG,PG-SAN,Vanimo,AYVN,VAI,"Vanimo,PG"
12,Wewak International Airport,medium_airport,-3.58383011818,143.669006348,PG,PG-ESW,Wewak,AYWK,WWK,"Wewak,PG"
13,Zabrat Airport,medium_airport,40.4955422161,49.9768066406,AZ,AZ-BA,Baku,UBTT,ZXT,"Baku,AZ"
14,Heydar Aliyev International Airport,large_airport,40.46749877929688,50.04669952392578,AZ,AZ-BA,Baku,UBBB,GYD,"Baku,AZ"
